,title,price,type,material,location,link
46,5 piece dinette set,175,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-piece-dinette-set/7823964667.html
47,media center,300,,,unknown,https://charlottesville.craigslist.org/fuo/d/crozet-media-center/7820408439.html
48,leather stools,150,,leather,unknown,https://charlottesville.craigslist.org/fuo/d/crozet-leather-stools/7820408587.html
49,"sofa, white oversize",50,,,Troy,https://charlottesville.craigslist.org/fud/d/troy-sofa-white-oversize/7823902001.html
50,round drop-leaf table and chairs,180,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-round-drop-leaf-table/7823896633.html
51,round drop-leaf table and chairs,165,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-round-drop-leaf-table/7823896117.html
52,white sofa with navy blue piping,150,sofa,,Troy,https://charlottesville.craigslist.org/fuo/d/troy-white-sofa-with-navy-blue-piping/7823894442.html
53,ethan allen desk,150,desk,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-ethan-allen-desk/7818195191.html
54,3-tier glass television stand!,59,,glass,Bremo Bluff,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-tier-glass-television-stand/7821212475.html
55,ethan allen queen bed frame!,125,bed,,Bremo Bluff,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-ethan-allen-queen-bed-frame/7821213519.html
56,"recliner, glider",175,,,Bremo Bluff,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-recliner-glider/7823158265.html
57,large chest of drawer!,150,,,Bremo Bluff,https://charlottesville.craigslist.org/fuo/d/bremo-bluff-large-chest-of-drawer/7821215561.html
58,curio cabinet,45,cabinet,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-curio-cabinet/7823835319.html
59,classic side table lamp,40,table,,Crozet,https://charlottesville.craigslist.org/fuo/d/crozet-classic-side-table-lamp/7823796001.html
60,swag style gone with the wind style lamp,65,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-swag-style-gone-with-the-wind/7823791588.html
61,quality wooden computer cart,60,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-quality-wooden-computer-cart/7823787865.html
62,vintage adjustable sheet music stand,30,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-vintage-adjustable-sheet-music/7823786024.html
63,rolling wood utility cart,30,,wood,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-rolling-wood-utility-cart/7823784559.html
64,basic tv or microwave cart,5,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-basic-tv-or-microwave-cart/7823781962.html
65,full size office desk,89,desk,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-full-size-office-desk/7823777929.html
66,exquisit display case,199,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-exquisit-display-case/7823763441.html
67,black tempered glass and steel tables,30,,glass,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-black-tempered-glass/7823076988.html
68,vintage berman bronze & art glass deco style table lamps,150,art,glass,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-vintage-berman-bronze/7822513247.html
69,high end office chairs (2),110,,,Crozet (OLD TRAIL),https://charlottesville.craigslist.org/fuo/d/greenwood-high-end-office-chairs/7823757087.html
70,regal pedestal table,75,table,,Forest Lakes,https://charlottesville.craigslist.org/fuo/d/charlottesville-regal-pedestal-table/7818022675.html
71,vessels berthing side table,65,table,,Forest Lakes,https://charlottesville.craigslist.org/fuo/d/charlottesville-vessels-berthing-side/7818024316.html
72,classic antique table with french document details,125,table,,Forest Lakes,https://charlottesville.craigslist.org/fuo/d/charlottesville-classic-antique-table/7821504342.html
73,full size brass headboard,65,headboard,brass,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-full-size-brass-headboard/7823704980.html
74,handmade 4’x8’ dining table and base,475,table,,Dillwyn,https://charlottesville.craigslist.org/fuo/d/dillwyn-handmade-4x8-dining-table-and/7823696844.html
75,antique washstand/mirror,250,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-antique-washstand-mirror/7817137756.html
76,twin size piece foam/cover,50,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-twin-size-piece-foam-cover/7817290360.html
